timestamp,src,dst,proto,pkt_len,dataset,prediction
2025-12-06 00:27:56,172.26.57.105,172.26.57.223,6,56,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.105,172.26.57.223,6,86,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.105,172.26.57.223,6,56,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.105,172.26.57.223,6,86,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.105,172.26.57.223,6,56,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.105,172.26.57.223,6,86,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:57,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:58,172.26.57.105,54.192.142.70,6,55,NSL-KDD,normal
2025-12-06 00:27:58,54.192.142.70,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:58,172.26.57.223,172.26.57.105,6,55,NSL-KDD,normal
2025-12-06 00:27:58,172.26.57.223,172.26.57.105,6,55,NSL-KDD,normal
2025-12-06 00:27:58,172.26.57.223,172.26.57.105,6,55,NSL-KDD,normal
2025-12-06 00:27:58,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:58,172.26.57.223,172.26.57.105,6,112,NSL-KDD,normal
2025-12-06 00:27:58,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:58,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
